Time,ax,ay,az,gx,gy,gz,mx,my,mz
39.271677017211914,-0.72,-0.56,0.4,0.06,1.04,-1.28,39.61,36.31,7.05
39.32363986968994,-0.72,-0.56,0.4,0.06,0.43,-1.22,38.56,35.56,6.45
39.37611198425293,-0.72,-0.56,0.4,0.06,0.0,-1.1,39.91,36.01,6.0
39.42811703681946,-0.73,-0.57,0.38,0.0,0.0,-1.1,40.06,34.66,6.9
39.48002004623413,-0.73,-0.56,0.41,-0.06,-0.12,-1.04,39.46,36.16,7.2
39.53193187713623,-0.72,-0.56,0.39,0.0,0.18,-1.34,39.16,35.56,6.0
39.583585023880005,-0.72,-0.56,0.4,0.06,0.3,-1.34,39.16,35.56,6.0
39.635457038879395,-0.72,-0.56,0.41,0.0,0.24,-1.16,39.91,34.81,8.1
39.68776798248291,-0.72,-0.56,0.4,0.0,0.3,-1.16,39.76,35.71,6.9
39.740450859069824,-0.72,-0.56,0.41,0.0,0.24,-1.28,38.71,35.71,6.9
39.79235005378723,-0.72,-0.56,0.4,0.0,0.67,-1.4,39.46,34.66,6.6
39.8447380065918,-0.72,-0.56,0.4,0.12,0.98,-1.46,39.76,35.71,6.6
39.89738202095032,-0.72,-0.57,0.41,0.0,1.46,-1.65,37.36,34.81,7.5
39.949333906173706,-0.71,-0.56,0.4,0.06,2.26,-1.95,38.71,34.66,5.55
40.00130891799927,-0.72,-0.56,0.4,0.18,2.07,-2.07,39.76,34.36,7.65
40.05328702926636,-0.72,-0.56,0.39,0.06,2.5,-1.95,40.06,35.11,7.2
40.10522389411926,-0.72,-0.56,0.4,0.12,2.26,-1.71,39.61,34.81,7.05
40.15748405456543,-0.73,-0.56,0.4,0.06,1.83,-1.65,40.06,34.66,6.15
40.20997190475464,-0.73,-0.56,0.4,0.06,1.04,-1.65,39.46,34.36,7.2
40.26196599006653,-0.73,-0.55,0.38,0.06,0.55,-1.52,39.76,32.56,7.65
40.31377196311951,-0.73,-0.56,0.39,0.12,0.67,-1.59,38.11,36.01,5.7
40.365962982177734,-0.72,-0.57,0.38,0.06,0.12,-1.28,39.46,35.71,6.9
